pID ch_name state freqPeak freqLow freqHigh pvaluesLeft pvaluesRight pvaluesBoth pvaluesMean
demo R1-R2 wake 12.0 10.5 14.5 0.30042 0.025176 0.300748 0.171681
demo R1-R2 wake 20.5 18.5 23.0 0.133099 0.04853 0.157303 0.057883
demo R1-R2 wake 27.5 25.5 30.5 0.0 0.0 0.0 0.0
demo R1-R2 wake 39.0 37.0 41.5 0.150854 0.145613 0.217624 0.164793
demo R1-R2 REM 10.0 8.5 12.0 0.028372 0.028372 0.028372 0.028372
demo R1-R2 REM 15.5 13.5 16.5 0.000902 0.232334 0.233142 0.021334
demo R1-R2 REM 19.0 17.0 22.5 0.147983 0.022511 0.158273 0.04124
demo R1-R2 REM 28.5 26.0 31.5 0.0 0.0 0.0 0.0
demo R1-R2 NREM 12.0 10.0 15.0 2.2e-05 0.0 2.2e-05 0.0
demo R1-R2 NREM 29.0 27.0 32.0 0.347985 9.7e-05 0.347985 0.347985
